*######################################################*
#                                                      #
#                                                      #
#                    Printing C_nt                     #
#                                                      #
#                                                      #
*######################################################*
*##################        [0. 0. 0.]        ###################*
MO=     1 AO=    12 C_nt=   0.001630
MO=     1 AO=    15 C_nt=  -0.002058
MO=     1 AO=    16 C_nt=   0.003584
MO=     1 AO=    17 C_nt=   0.000688
*##################        [-1.  0.  0.]        ###################*
MO=     2 AO=     0 C_nt=  -0.005379
MO=     2 AO=     1 C_nt=   0.000172
MO=     2 AO=     2 C_nt=   0.001100
MO=     2 AO=     3 C_nt=   0.010630
MO=     2 AO=     4 C_nt=   0.007342
MO=     2 AO=     5 C_nt=  -0.015045
MO=     2 AO=     7 C_nt=  -0.019492
MO=     2 AO=     9 C_nt=  -0.000852
MO=     2 AO=    10 C_nt=  -0.008610
MO=     2 AO=    12 C_nt=   0.000224
MO=     2 AO=    13 C_nt=   0.001158
MO=     2 AO=    15 C_nt=   0.002491
MO=     2 AO=    16 C_nt=  -0.000541
MO=     2 AO=    17 C_nt=   0.000865
*##################        [-1.  0.  0.]        ###################*
MO=     3 AO=     0 C_nt=  -0.002250
MO=     3 AO=     1 C_nt=  -0.000197
MO=     3 AO=     2 C_nt=  -0.005083
MO=     3 AO=     3 C_nt=  -0.000114
MO=     3 AO=     6 C_nt=  -0.003814
MO=     3 AO=     8 C_nt=  -0.001364
MO=     3 AO=    11 C_nt=  -0.002363
MO=     3 AO=    14 C_nt=   0.000423
MO=     3 AO=    15 C_nt=  -0.000774
MO=     3 AO=    16 C_nt=  -0.000127
MO=     3 AO=    17 C_nt=   0.001522
*##################        [-1.  0.  0.]        ###################*
MO=     4 AO=     0 C_nt=  -0.002791
MO=     4 AO=     1 C_nt=   0.000801
MO=     4 AO=     2 C_nt=  -0.000912
MO=     4 AO=     3 C_nt=  -0.007957
MO=     4 AO=     4 C_nt=  -0.023746
MO=     4 AO=     5 C_nt=   0.209868
MO=     4 AO=     7 C_nt=   0.020546
MO=     4 AO=     9 C_nt=   0.000401
MO=     4 AO=    10 C_nt=   0.014971
MO=     4 AO=    12 C_nt=   0.019991
MO=     4 AO=    13 C_nt=  -0.006385
MO=     4 AO=    15 C_nt=  -0.003003
MO=     4 AO=    16 C_nt=   0.001077
MO=     4 AO=    17 C_nt=   0.001379
*##################        [-1.  0.  0.]        ###################*
